키워드,순위,업체명,리뷰번호,리뷰내용,크롤링시간
양재역치과,5,강남샘치과의원,1,"최악의 치과입니다.

이렇게 불친절하고 아프게 치료하는 치과는 처음입니다. 이전에 계셨던 남자원장님은 침착하고 통증 없이 치료해주셨는데, 여자 원장님 너무 부산스럽고 막무가내로 치료하시네요. 치료 받는 내내 불안하고 짜증이 치밀어 올랐습니다.

치료실에 가방 놓는 캐비넷부터 의료 도구들까지 정말 너무 지저분해요. 의료도 서비스업인데 지저분하고 불친절하고 게다가 치료도 잘 못하시고.. 정말 최악입니다.",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,2,"회사 근처라 가깝고 원장님 간호사 선생님들 다들 친절해서 몇년째 다니고 있어요
갈때마다 꼼꼼하게 잘 뵈주십니다. 충치 검진 하실때는 당장 치료해야하는 것과 좀 두고 봐도 되는 이를 나눠서 설명해주시고 스케일링도 무통이라 편하게 받을수 있어요. 오래 오래 번창하세요",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,3,과잉진료 없고 친절하셔서 좋았어요~~ 특히 저 봐주신 까만머리 간호사선생님 너무 귀엽고 꼼꼼하셨어요 집 좀 멀긴한데 검진 꾸준히 받으려고요!,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,4,편안하게 진료 잘받았어요. 선생님들도 너무 친절하시고 마취할때도 안아파서 좋았어요,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,5,과잉진료 없고 스켈링 안아프게 꼼꼼하게 잘해주셨어요,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,6,"잇몸치료로 방문했는데
일단 마취 제대로 못하고 잇몸치료또한 깊숙히 꼼꼼하게 해주는 느낌 없음
타 병원에서 받았을때랑 느낌이 너무 다르고 마취 풀리고 나서도 잇몸이 욱신거리는게 하나도 없을정도로 깊숙히 꼼꼼히 하지 않은 느낌
제일 중요한건 트레이와 기구들에 뭔지 모를 때들이 덕지덕지 있고 너무 지저분하고 청결하지 않음….
저걸 입에 넣는다니.. 받는 내내 불편했음",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,7,"정확하게 필요한 곳만 치료 잘 해주시고 친절합니다 !
재방문 예정입니다",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,8,중학생아들과 온가족이 정기검진 다니는곳이에요 항상 친절하세요 너무좋음^^,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,9,양재역 바로 옆이고 주차 되네요,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,10,"치위생사 선생님들께서 웃으면서 안내 해주시고, 친절하게 대해주셔서 긴장을 좀 풀 수 있었습니다.
남자 원장님께서도 현재 상태에 대해서 이해하기 쉽게 설명 해주셔서 좋았습니다.",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,11,"충치치료 무서워하는편인데 섬세하게 마취해주시고 안심되게끔 설명도 잘해주셔서 너무 좋았습니다ㅠㅠ 치아 높낮이도 꼼꼼하게 봐주시구요!! 원장님, 간호사님 모두 엄청 친절하세요ㅎㅎ",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,12,항상 갈때마다 친절하고 만족스러운 진료에 감사드립니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,13,가족이 모두 다니는 치과~~ 항상 친절하고 꼼꼼하게 살펴주시는 원장님과 병원 식구들. 주차도 가능하고 양재역 바로 앞이라 다니기 편합니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,14,5년째 다니고 있어요! 과잉진료없고 스케일링도 깔끔하게 잘해주십니다👍,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,15,"직원분들 모두 친절하시고 스케일링하면서 치아 관리법도 자세히 설명해 주셨어요
실력도 좋으시고 다음에 치과 갈 일 또 생기면 여기로 올 예정입니다!",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,16,"깔끔하고, 설명 잘 해주십니다.
꼼꼼하게 관리 잘 해주셔서 믿을 수 있습니다.",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,17,"고등학생 때부터 쭉 다니고 있는 치과예요 :)
예전엔 사랑니 4개도 여기서 다 뺐었는데 하나도 안 무섭고 너무 잘 뽑아주셨어서 그 뒤로도 계속 다니고 있어요.
이번엔 스케일링 받으러 갔는데, 직원분들이 너무 친절하시고 분위기도 좋아서 기분 좋게 진료 받았어요!
예전부터 계속 콤플렉스였던 부분이 있었는데 이번에 드디어 해결해서 개인적으로 정말 큰 만족감 느꼈습니다.
과잉진료 없이 필요한 부분만 정확히 짚어주셔서 더 신뢰가 가는 곳이에요.
앞으로도 꾸준히 다닐 예정입니다~~~",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,18,보철이떨어져서 급하게 회사근처 리뷰좋은곳으로 갔는데 데스크 실장님 매우 친절하시고 원장님 및 스텝분들이 성의껏 진료하시는것같아 앞으로 자주이용할것같아요. 추천합니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,19,양재역 치과는 무조건 이곳!!! 옆 다른 치과도 가봤는데 가장 실력있고 친절한 곳은 강남샘치과 추천. 주차도 무료로 가능해서 차타고 가기도 편해요. 직원분들 다 너무 친절하셔서 항상 기분좋게 다녀옵니다😆,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,20,"친절하고 자세한 상담, 세심하신 진료와 치료에 감사하여 늘 재방문하게 됩니다~",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,21,본 게시물은 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제 44조 2항을 준수하기 위해 다른 이용자의 요청으로 삭제되었습니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,22,"와이프 소개로 강남샘치과 방문하여, 금니 떼우는 치료를 받았습니다. 원장님 및 모든 직원분들이 친절하게 응대해주셔서 편안하게 진료 볼 수 있었습니다.
진료 내내 어떤 부위를 어떻게 진료 할 것인지 자세한 설명 및 금액은 얼마이고 불 필요한 진료 없이 및 합리적인 가격으로 안내 해주셔서 저도 흔쾌히 진행했습니다.
감사드립니다.",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,23,치아 정기검진 및 스케일링 해주셔서 진심으로 감사드립니다 ~ 문자까지 넣어주시고,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,24,"강남샘치과의원
24.12.23.월
안녕하세요~이명수님
따뜻한 리뷰 남겨 주셔서 고맙습니다
스켈링후 거칠어진 표면 매끄럽게 연마 하러 오셔야 합니다~전화 드렸는데 부재여서 전화 부탁해요^^",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,25,치료는 잘하시는거 같아요 부모님이 치료받고 계세요 그런데 데스크 직원이 자주 바뀌어서 갈때마다 낯설때가 있어요,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,26,소중한 자연치 보존해서 쓸 수 있게 해주셔서 정말 감사합니다. 항상 행복하세요.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,27,항상 친절하고 자세히 설명해 주셔서 치아는 물론이고 마음에도 큰 도움이 됩니다. 감사합니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,28,아파서 예민해지니까 짜증냈는데 죄송할 정도로 너무 친절해요 치과는 여기만 가야겠어요..,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,29,"반응 남기기
방문일
24.11.11.월
2024년 11월 11일 월요일
6번째 방문
인증 수단
영수증",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,30,마취할때만 따끔했고 큰고통없이 신경치료 잘 받고 왔어요 ^^ 남은치료도 잘부탁드립니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,31,여기 병원은 원장님은 본인 진료 끝나면 가버리셔서 궁금한걸 원장님께 여쭤볼수가 없어요. 지난번에도 그러시더니 이번에도 마찬가지네요. 답답,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,32,지하철역 출구 바로 앞에있어서 저같은 길치도 찾아가기 편하네요ㅋㅋㅋ 실력과 서비스도 좋았어요 굿,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,33,친절한 진료 감사합니다~!!,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,34,치료와 상황 및 후속 조치에 대한 설명까지 전부 꼼꼼하고 친절하게 진행해 주십니다. 데스크 계신 분들도 모두 친절하고 자세하게 말씀해 주셔서 마음에 큰 힘이 됐습니다. 감사합니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,35,"원장님, 직원분들 모두 친절하세요.
진료 꼼꼼하고 관리 방법도 자세히 알려주셨어요.",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,36,스케일링 받으러갔는데 직원분들 다 친절하시고 치위생사 선생님도 안아프게 신경써주시면서 꼼꼼히 잘 해주셨어요~ 관리법도 알려주셔서 잘 해보려구요! 감사합니다,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,37,가글마취가 안들었어요...,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,38,아주 친절하세요 감사합니다,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,39,"우연히 알아보다가 양재역에 있어서 거리도 가까워서 방문하게 되었는데 너무좋았어요
선생님들 다들 친절하시구요 저희아이가 충치가있어서 치료받았는데 칭찬을 엄청 해주신다고 착하시다구 얘기를 해주더라구요!!
이번이 두번째 방문이었는데 너무 만족스러웠습니당👍🏻👍🏻🙏 감샤합니당",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,40,이것저것 안권해서 좋아요,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,41,스케일링 안아프게 잘해주세요.잇몸윗쪽 한쪽은 잇몸치료 필요하다해서 다음주도 가기로 했어요.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,42,"간호사 및 의사선생님 모두 친절하시고
과잉진료 없이 필요한 것만 간결하게 진행해주셔서 좋았습니다.",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,43,과잉진료없고 선생님들이 친절ㆍ꼼꼼하세요,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,44,친절하시고 좋아요~,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,45,지방에 살아서 거리가 있어서 멀지만ㅜㅜ 내가 가본 치과 중 최고 ! 👍,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,46,치과 아주 친절하세요,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,47,살짝 벌어진 앞니 때문에 고민이었는데 교정을 안하고 레진이라는 걸로 메꿨어요. 근데 너무 깨끗하게 잘 메꿔져있어서 좋아요.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,48,친절하시고 검진 꼼꼼히 잘봐주십니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,49,친절하십니다,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,50,"스케일링겸 정기검진겸 내원했는데
정말 이정도로 꼼꼼하게 해주시는 치과는 첨이에오ㅠ
의사쌤도 잘봐주시는데 간호사쌤 특히 정말 꼼꼼하시구
엄청 친절하셔서 또 가고 싶은 치과입니당🩷🩷",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,51,치과치료를 무서워하는 아이도 친절하게 봐주세요~감사합니다,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,52,여기는 북적거리지가 않아서 너무 좋아요~ 잇몸 이식 수술 추천받고 왔는데 관리도 꼼꼼히 해주시고 수술 경과도 좋아서 만족스러워요^^,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,53,"반응 남기기
방문일
24.2.19.월
2024년 2월 19일 월요일
3번째 방문
인증 수단
영수증",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,54,커피를 달고 살아서 그런지 치아가 누렇다는 얘기를 듣고 스트레스도 많이 받았었는데 여기서 치아미백하고 나서는 확실히 밝아진게 눈에 보이니까 제 스스로도 너무 뿌듯해요 커피를 줄일수는 없으니까 주기적으로 와서 미백받을게여ㅎㅎ,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,55,원장님과 직원분 친절하세요. 치료 부위가 자꾸 시려서 살짝 아쉬운 부분이 있습니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,56,친구가 여기서 교정하고 자랑하는데 제가봐도 잘됐길래 저도 상담받았어요~ 티안나게 투명으로 교정할수 있다는게 너무 좋아요 저도 얼른 교정이 끝나서 친구들한테 자랑하고싶어요!!,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,57,친절하세요 감사합니다,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,58,충치가 있어서 충치치료 받고 찾아왔었어요. 진료 받는 동안 불편하지 않게 신경 잘 써주시고 친절하고 좋았어요 ^^,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,59,회사에서 퇴근하고 집근처 치과를 가게 되면 시간이 너무 늦어 못 가는 경우가 허다했어요. 그러다보니 회사 동료분게 추천을 받아서 오게 되었는데요. 정말 꼼꼼하게 진료 봐주시고 궁금했던 부분들도 물어봤는데 잘 안내해주시더라구요. 그래서 앞으로는 회사에서 퇴근하고 나면 여기로 다닐려고 해요. 친절하고 깨끗해서 좋았습니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,60,스케일링 받았는데 깔끔하고 좋았습니다,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,61,친절하고 편안하고 잘해주셔요~,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,62,심미보철 유명하다고 해서 찾아갔는데 앞니 크라운했는데 정말 하나도 티안나고 자연스러워요. 지금 저도 어디를 치료했는지 헷갈리는중ㅋㅋㅋㅋ,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,63,"반응 남기기
방문일
24.1.27.토
2024년 1월 27일 토요일
2번째 방문
인증 수단
영수증",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,64,"잇몸이식 수술을 이 병원으로 추천받아서 왔어요! 수술이 생각보다 좀 큰(?)수술 이었지만, 제가 생각한 것 보다는 덜 아팠던것 같아요. 몇주간 음식 제대로 못먹는거는 불편한데 제가 참는만큼 수술 예후가 좋은거라고 생각하고 참았어요~ 관리도 꼼꼼하게 해주시고 항상 친절하게 알려주셔서 좋았습니다 :)",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,65,"충치가 많았는데 치료 후 통증이 다 사라졌습니다.
꼼꼼하시고 최선을 다해 치료해주신게 보여 좋았습니다!",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,66,네이버예약이 돼서 편해요^^,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,67,빠르고 깔끔한 스케일링 만족스러웠습니다. 네이버 예약도 되니 편하게 기다리지않고 진료봤습니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,68,원장님 간호사분들 모두 친절하셔요,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,69,친절하게 진료봐주십니다,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,70,"반응 남기기
방문일
23.12.5.화
2023년 12월 5일 화요일
1번째 방문
인증 수단
영수증",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,71,송원장님 성함도 예쁘신만큼 궁금한점 친절히 설명해주심에 감사드립니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,72,친절하고 과잉진료없어서 좋아요^^,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,73,친절하고 꼼꼼하게 검진해주셨습니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,74,과잉진료 없고 설명 자세하고 친절하십니다,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,75,친절하고 설명을 잘해주세요,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,76,친절하고 과잉진료 없어서 좋습니다. 추천합니다.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,77,평소 다니던 치과인데 꼼꼼히 치료해주셔서 계속 다니고 있어요.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,78,과잉진료 없고 다들 정말 친절하세요,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,79,"치과 인테리어 깔끔하고 데스크분 친절하고 좋습니다.
과한 진료는 없는거 같고 진료 봐주시는 선생님도 실력 좋으신거같아요
이가 꽤 깊게 썪었는데 신경치료까지 안가고 인레이로 끝날수 있어서 다행이었습니다.",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,80,치과 공포증이 심해서 치료받기가 너무 무서웠는데 여기는 찐입니다 ㅎㅎ 무통마취라 안아프고 무엇보다 너무 친절하셔서 치료받는 내내 안심하고 받을 수있었어요 양재역 근처 치과 찾으시면 여기로 가세요!!!,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,81,잇몸이 워낙 예민해서 스케일링할때마다 고통스러웠는데 잇몸 마취하고 시술해주셔서 너무 좋았어요!,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,82,"반응 남기기
방문일
23.7.17.월
2023년 7월 17일 월요일
1번째 방문
인증 수단
영수증",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,83,"반응 남기기
방문일
23.7.17.월
2023년 7월 17일 월요일
1번째 방문
인증 수단
예약",2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,84,마취를 이렇게 안 아프게 해주시다니... 충치가 너무 많았는데 통증 전혀 없었어요. 오죽하면 치료받다 잠들정도였네요 ㅋㅋ 병원분들 다 친절하세요. 남은 충치도 여기서 다 할 예정이에요.,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,85,스켈링 잘하고 친절하다는 추천받고 방문했는데 오길 잘 한거 같아요 만족합니다,2026-03-31 13:14:35
양재역치과,5,강남샘치과의원,86,"원장님 실력좋으시고 친절하세요ㅎㅎ
치과에 대한 공포증이 있었는데 과잉진료도 없고 너무세심하게
잘해주셔서 치과에 대한 공포증을 이겨낼수있었어요!
주의사항 전달해주시는 간호사분들도 다 친절하고 좋아서
제대로 진료받구있구나라는 생각이 들더라구요
만족합니다:)",2026-03-31 13:14:35
