키워드,순위,업체명,리뷰번호,리뷰내용,크롤링시간
양재역치과,3,서울양치과의원 양재,1,"원장님 진료 너무친절하게 잘해주시고
스케일링이 정말 꼼꼼합니다 추천해요!!",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,2,"스케일링 해주시는 선생님도 너무 친절하시고
원장님도 꼼꼼히 진료해주시고
이사온후 처음 양재동에서 온 치과지만
너무 편안하게 진료받고 갑니다^^💕",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,3,"원장님과 선생님들 넘 친절하세요ㅎㅎ
마취주사 무서웠는데 하나도 안아팠어요! 신기해요☺️
집가까운 곳이 이런 좋은 치과가 있어서 좋아요",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,4,12월 치아검진 후 1월부터 크라운 / 레진 치료중인데 과잉진료없이 성심성의껏 잘 해주세요^^,2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,5,"2년 좀 넘게 다니는데, 아주 좋아요",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,6,제가 다녀보고 좋아서 가족과 친구들에게 소개하고 있는 중이고 다녀온 후 다들 만족해하네요,2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,7,"신경치료, 크라운 통증 거의 없이 잘 치료했습니다.",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,8,"사랑니, 충치 치료 상담으로 방문했는데 너무 만족합니다. 친절하시고 이해하기 쉽게 자세한 설명해주셔서 너무 좋았습니다!!",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,9,스케일링 하러 방문하였는데 꼼꼼하게 잘 치료받았습니다.,2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,10,"첫 방문입니다~ 선생님들 모두 너무 친절하시고, 원장 선생님께서 꼼꼼하게 진료 봐주십니다! 네이버 리뷰가 많은 이유가 있었네요~~",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,11,"97세된 친정엄마를 모시고다녀왔어요.
현재 투석중이어서 발치하기가 힘든
환자였는데 원장님께서 투석중인 병원과 협치하셔서 잘 치료해 주셔서 너믜 감사했고,
다음날 전화까지 해 주셨어요.
초진이었고,
많은병을 지닌 환자를 잘 치료해주셔서 양치과병원을 강추합니다.",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,12,회사근처 치과찾다가 우연히 방문했는데 원장님 진료 너무 잘 보세요! 엄청 꼼꼼하시고 치료 단계별로 할때마다 하나씩 다 말씀해주셔서 좋았어요. 과잉진료 전혀 없구요! 저는 이시림으로 레진 총 6개 진행했구요. 치과에 대한 두려움이 있었는데 원장님 마취 정말 하나도 안아프게 하세요..ㅎㅎ 시설도 깔끔하고 데스크에 계시는 간호사님들도 친절하세용! 스케일링도 해야하구 앞으로 주기적으로 방문하려구요~!,2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,13,"친절하고 꼼꼼하세요, 과잉진료 없이 편하게 진료ㅠ받을수 있어서 신뢰가 갑니다",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,14,"기분좋은 치과입니다
과하지도 않고 넘치지도 않는",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,15,"중학생 아이 턱관절이 아파서 검색한 끝에 찾아낸 치과입니다. .원장님, 간호사님 모두 친절하신데다가 원장님의 꼼꼼하고 친절한 설명 덕분에 아이도, 저도 한시름 놨어요. 턱관절에 물리치료가 가능한것도 첨 알았네요.. 과잉진료도 없고 믿음이 가는 치과인거 같아요. ^^",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,16,"무셔운 치과~~~ 지만 서울 양치과는 일도 무섭지 읺았어요~~~ 원장님께서 아주 세심하고 부드럽고 두렵지 않게 치료 해 주셨네요. 과잉 진료 없이 치료 해주시고. 선생님들도 친절 하고 부뉘기도 안무서워서 몇달은 치료 해야쥬
심긱한 치료를 하지 않으려면 미리미리 치과를 다니는거류~,,,",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,17,"치경부마모 4개치료 했고, 충치검진받고, 스켈링 받았습니다. 잇몸이 아팠는데 심한상태 아니라 하셔서 안심. 치경부 마모 떼우니까 속시원 합니다. 처음이라 보험적용 되는거로 했고 이거 떨어지면 레진으로 할라구요. 오래버텼음 좋겠넹
치료 잘받고 갑니다. 충치치료 크라운 예약잡고 올게용",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,18,아프지않게 치료 꼼꼼히 해주셨어요^^,2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,19,로비도 깨끗하고 진료하시는 의사분이랑 간호사분들이 모두 친절합니다.,2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,20,"서초동 근처에서 은근 잘 맞는 치과 찾기가 어려웠는데, 원장선생님께서 꼼꼼히 봐주시고, 과잉진료 없고, 모두 친절하셔서 너무 만족스럽게 치료하고 왔습니다.",2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,21,치과를 정말 무서워하는 편인데 원장선생님께서 너무 잘 봐주셔서 안심하고 진료보고 돌아갑니다 치위생사분들도 넘 친절하시구 실력 좋으세요~!! 자세한 설명 감사합니다 다음 검진에 또 방문하겠습니다!,2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,22,시설이 깔끔하고 예약 후 방문해서 대기도 없이 빠르게 진료받을수 있었어요! 양재역에서 바로 나와서 갈수 있어 접근성도 좋습니다. 그리고 모두 친절하게 진료해주시고 원장샘도 꼼꼼히 치료해주셨어요,2026-03-31 13:09:37
양재역치과,3,서울양치과의원 양재,23,스케일링 하러 방문했는데 다들 친절하시고 설명도 정확하게 잘 해주셨어요!,2026-03-31 13:09:37
