키워드,순위,업체명,리뷰번호,리뷰내용,크롤링시간
양재역치과,1,닥터홍바른치과의원,1,"원장님하고 선생님들 모두 친절하세요!!
미백했고 다른 치료들도 했는데 정말 만족합니다!!
추천해요!! 강추!!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,2,"몇년째 다니고 있는 치과입니다.
원장님도 쌤들 모두 친절하세요!!!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,3,"발치와 임플란트 치료로 방문하였습니다.
기다림없이 바로 치료받으시고.. 설명도 친절히 해주시네요. 의사선생님도 친절하시고 만족합니다.",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,4,회사분이 본인은 여기 다닌다고해서 온건데 시설도 깨끗하고 치위생사님이랑 의사선생님 다 친절하시고 좋아요 스케일링 후에 치실도 해주시고 짱입니다,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,5,"치석이 쌓여서 방문했는데, 선생님이 정말 꼼꼼하게 봐주셔서 개운해요. 스켈링하면서 평소 관리하기 힘든 부분까지 세심하게 체크해 주시고, 제 치아 상태에 맞춰 주의사항도 친절히 설명해 주셔서 믿음이 갔습니다. 통증도 거의 없어서 앞으로 정기검진은 꼭 여기서 받으려 합니다. 추천해요!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,6,"스케일링 받으러 방문했는데 선생님이랑 간호사분들 모두 정말 친절하세요! 검진도 세심하게 해주시고, 제가 궁금했던 점도 이해하기 쉽게 잘 설명해 주셔서 믿음이 갔습니다. 시설도 깔끔해서 기분 좋게 진료받고 왔네요. 추천합니다!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,7,점심시간에 검진 받으러 다녀왔어요. 선생님들 원장님 모두 친절하시고 진료도 꼼꼼하게 잘 봐주세요. 이것저것 여쭤봤는데 설명도 이해하기 쉽게 잘 해 주셨고요. 시간이 촉박해서 본격적인 치료는 일정을 따로 잡고 나왔는데 느낌상 치료도 정말 만족스럽게 해주실 거 같아요! ㅎ,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,8,"몇년째 방문하는 치과입니다
선생님 되게 친절하시고 실력좋으십니다
다른 치과에서 해결 안된 불편감 원인도 잘 찾아주시고 치료해주셨어요",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,9,"스케일링 받으러 갔는데 처음부터 끝까지 정말 친절하게 응대해주셨어요.
불편하지 않은지 계속 체크해주시고, 편안하게 받을 수 있도록 신경 써주셔서 좋았습니다.
다음에도 스케일링은 여기서 받을 것 같아요.",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,10,치과 내부가 깔끔하게 되어 있고 일단 불편 부위를 원장님께서 꼼꼼히 진료 봐 주시구요 선생님들도 전부 다 너무 친절 하세요 ! 다시 방문 하고 싶은 치과 입니당 추천 드려용 !!,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,11,"직원분들 친절하고
스케일링 꼼꼼하게 잘 해주십니다",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,12,"제가 1년에 한번 보험 되는 스케일링 이라도 받을려고
올해가 가기전에 써먹을려고 직장근처 야간 치과를
찾다가 알게되어 방문 했습니다 성인이 된 저는 병원중에 제일무서운게 아직도 치과 가 제일 무섭습니다 더군다나 저는 입술도 두껍고 혀도 두꺼운데 힘도 쎄서 다른 타 치과에서 스케일링 할때도 힘들고 오래걸렸습니다 그런데 제가 환자중에 극악난이도 일텐데 여기 치위생사 선생님 대박 능력자 정말 안아프고 원래는 그동안 동네 타치과에서
1시간 걸렸던거 진료 끝나는꺼 까지 30분 컷으로 해주신 덕분에 몸이 편했어요 감사합니다 치과는 멀어도 이제 여기로 정착해야겠어요 원장님도 친절하시고 치위생사 선생니도 엄청 맞춤형으로 잘해주셔서 좋았어요 고마워요🫶🏻💗 저처럼 오래 못누워 있는분들 겁쟁이분들 오셔요!맞춰주셔요🥹✨",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,13,"양재역에서 가깝구요
선생님들 정말 친절하십니다
꼼꼼하게 잘봐주세요
올해 가기 전에
치과진료 생각하신다면 가시는거 추천드립니다👍🏻",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,14,"치과 내부가 깔끔하고 좋았어요! 선생님들도 굉장히 친절해서 포근한 분위기에 치료받을 수 있었습니다!! 이빨이 안상했으면 좋겠지만,,, 또 방문할게요~!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,15,친절하시고 잘 치료해주셔서 좋아요:),2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,16,친절하시고 검사까지 받았는데 필요한 부분 진료를 잘 해 주셔서 만족합니다.,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,17,예약 편하고 스케일링이랑 교정 상담 친절하게 해주셨어용,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,18,친절하고 미백도 잘 됐어요!,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,19,"다들 너무 친절하셨어요 !
미백도 완전 잘 됐네요 👍👍👍👍",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,20,"양재역 근처 치과 지도에 검색해서 우연히 방문했는데 너무 좋은 병원을 찾은 것 같아요!! 의사선생님 외 모든 직원분들 다 엄청 친절하세요! 스케일링도 꼼꼼하게 잘 해주시고, 충치 치료도 설명 잘 해 주십니다! 서울에서 정기적으로 다닐 치과가 될 것 같아요!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,21,"친절하시고 자세한 아픈 부위 설명과 더불어
치석 제거도 잘 해 주셔서
감사해요~
양치질 요령도 알려주셔서 관리 잘 할게요~",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,22,"스케일링 받았는데 진짜 꼼꼼히 잘해주세요!! 설명도 알아듣기 쉽게 자세히 잘해주시고,, 감사해요!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,23,너무 잘 치료받았습니다,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,24,결혼하고 몇년만에 방문했는뎅 임산부라고 너무 배려해주시구 잘 챙겨주셔서 간호사선생님들이랑 원장님께감동받았어용!!!!!🥹🥹 스켈링두 엄청 꼼꼼하게 해주시구 임산부라 엑스레이가 조심스러우니 카메라루 하나하나 다 찍어서 현재 치아상태에대해 자세히 설명해주시구 몇년전이나 지금이나 원장님 친절하신건 변하지않았어요!!!! 과잉진료 없고 딱 치료해야할 부분 짚어주시구 집이랑 멀어졌지만 집주변 치과갔다가 상처받구 옛날생각나서 예약하구 찾아갔는뎅 역시!! 오길잘했다!! 라는 생각이 확 들더라구용~!~! ☺️😊,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,25,치료도 빠르고 의사쌤도 위생사분들도 모두 친절해서 좋았습니다!,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,26,선생님 너무 친절하시고 스윗하십니다 마취주사도 하나도 안아프게 잘해주세오! 간호사님들도 너무 프로패셔널하거 친절하십니다! 추천이예여👍,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,27,친절하고 진료도 꼼꼼히 잘 봐쥬셔요!!!,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,28,"누렁니 탈출!
인스타보고 방문한 미백맛집 닥터홍바른치과에요🫶🏻 주변 친구들이 결혼을 많이하며 사진찍는 날들이 많아져 예쁜게 웃는 사진을 담고 싶어 미백을 결심했답니다✨

스케일링도 꼼꼼히 잘해주시고 칫솔질 설명도 해주시고 무엇보다도 원장님과 위생사 선생님들이 정말 친절해서 편안한 분위기에서 진료받았습니다

나중에 또 미백받으러갈 예정임당

미백맛집 닥터홍바른치과의원!
강추합니다~~\\٩( 'ω' )و //",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,29,이사와서 새로 발견한 치과인데 후기대로 원장님과 실장님 치위생사 선생님들 다들 너무너무 친절하시고 진료도 세심하게 잘 봐주셨어요! 임산부 스케일링 할인도 따로 이야기 안했는데 적용해주시고 넘 감사합니다.,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,30,"교정 알아보다가 미백도 같이했습니다
친절하게 잘 응대해주셔서 편하게 하고 나왔어요",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,31,스케일리꼼꼼하게 잘 해주십니다. 원장님 친절하시구요,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,32,늘 친절하고 정확한 진료해 주시는 원장님과 직원분들 감사해요,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,33,"예약하고 가면 항상 기다리지않고 진료받을 수 있어서 좋아요. 원장님과 직원분들이 정말 친절하시고, 계속 괜찮은지 불편한건없는지 체크해주셔서 파워 내향인인 저도 마음 편하게 진료받을 수 있어요. 항상 감사합니다.",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,34,근처 치과 검색해서 처음 간 곳인데 원장님 직원들 모두들 친절하시고 꼼꼼하게 잘 봐주셨어요 병원 실내도 쾌적하고 불편함 없이 스케일링 잘 받고 왔습니다,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,35,선생님 친절하시고 스윗하십니다 마취주사 하나도 안아프게 잘해주세요! 간호사 언니 너무 친정하고 좋아요! 추천합니다👍,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,36,"닥터홍바른치과의원
25.9.25.목
안녕하세요 들꽃님^^ 소중한 시간내어 리뷰 작성해주셔서 감사합니다. 다음 내원때 뵙겠습니다!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,37,지인추천으로 와봤는데 원장님과 간호사님이 친절하시고 잘해주십니다. 인테리어도 깔끔하고 좋네요. 또 오겠습니다!,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,38,"사랑니 3개 올라오고 있어서 1년에 한번 꾸준히 검진하면서 지켜보고 있어요!! 과잉진료 없이 친절하셔서 좋아요~ 스케일링할때 아프지 않고 꼼꼼히 해주시고 입술이 건조한편인데 보호제 발라서 진료 봐주세요~
처음으로 당일치아미백 해봤는데 설명도 자세히 해주시고 잇몸보호제 바르고 꼼꼼히 해주셔서 만족합니다!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,39,모든 분들이 매우 친절하고 치료도 꼼꼼히 안아프게 잘 해주셨어요!! 다음 검진일때 뵙겠습니다 :),2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,40,스케일링을 매우 꼼꼼하게 해주시고 너무 친절하셨어요,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,41,모두 친절하시고 치아 상태 꼼꼼하게 검사해주세요! 근방에 있는 치과 몇군데 가보고 여기로 다니기로 했습니다.,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,42,"올때마다 의사선생님부터 데스크 직원까지 모두 항상 친절하시고 쾌적하고 주차도 가능해서 너무 좋아요^^*
이사오고나서 매번 여기만 와요~~",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,43,"12년 동안 제 이를 봐주고 계신 선생님이십니다.
한결같이 친절하시고, 환자를 성심성의껏 치료햐주십니다.",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,44,"리뷰대로 의사선생님을 비롯해 모두 친절한 치과였어요😊
살고 있는 동네에서 주기적으로 검진 받고 있다고 생각했는데,, 의사샘이 꼼꼼히 봐주셔서 사랑니 다시 보게 됐구요ㅠㅠ
오고가는 길 정말 멀었지만..ㅋㅋㅋ
만족도 최상이라 또 가려고 해요💛💛",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,45,꽤 많은 치과를 다녀봤지만 여기만큼 실력도 기술도 좋은 곳은 없었어요 항상 과잉 진료없이 어려운 치료도 꼼꼼하고 안아프게 해주셔서 정말 감사합니다.. 벌써 제 못난 치아 몇 개를 살려주시는 지 모르겠습니다 정말 정말 감사합니다! 항상 친절하게 맞이해주시는 선생님들 감사합니다!,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,46,너무 친절하시고 꼼꼼하십니다! 병원도 깔끔하고 넓어서 기분좋게 이용했어요^^,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,47,"너무 친절하고,
설명도 자세히 해주시고..^^
치료도 아프지 않게 잘 해주셔서,
너무 감사합니다~~^^",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,48,"스케일링, 치아미백 받았어요. 치아미백은 처음이였는데 생각보다 시리지 않고 3번 하는동안 한시간은 잤어요! 선생님들 모두 너무 친절하시고 치아미백 너무 효과 좋아서 6개월 뒤에 또 방문하려구요:)",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,49,친절하시고 스케일링이 일부 안된게 있었다고 하시며 추가 스케일링 까지 해주셔서 너무 좋았어요!,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,50,"꾸준히 방문하는 곳입니다~
회사근처라서 지인 추천받고 다니게되었는데 퇴사하고도 멀리 경기도에서 굳이굳이 찾아오는 곳입니당
원장쌤 간호사분들 모두 다 친절하시고 꼼꼼하게
봐주셔서 만족해요!! 해외로 직장을 얻게되어 가기전에 정기검진차 들렸는데 손볼곳이 한두군데가 아니엇는데 ㅠㅠ 싹 다 손보고 갑니당
한국들어올때마다 계속 올 예정입니다! 오래오래해주세요",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,51,"미백, 재교정 관련하여 가족의 소개로 방문하게 되었습니다.
후기가 좋아서 기대를 조금 하긴 했는데 역시나 친절히 안내해주셨고 궁금한 사항에 있어 상세히 답변해주셨습니다.
처음 해보는 미백은 만족도가 높았고 재교정은 고민이 됐지만 필요한 부분이라 믿고 맡길 수 있을 것 같아 바로 진행했네요.전체적으로 친절했고 기분좋게 진료 받고 왔습니다!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,52,"선생님께 믿음이 가고
간호사님들 넘 친절하셔요",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,53,"치아미백 받으러 왔어요
의사 선생님이 친절하게 봐주셨고 다른 분들도 모두 친절하셨어요! 만족합니다",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,54,"초딩때부터 치과를 다녀서 어느 치과를 가던지 무서워 하는 사람입니다. 공황장애도 있어서 치료때마다 애를 먹는데 배려해주신 덕에 편안하게 치료 받았어요. 정말 감사합니다. 스켈링하는데 이가 많이 시린편이라고 미리 말씀드렸더니 통증 줄여주는 가글 주셔서 진짜 이렇게 안아프게 스켈링받는거 처음이어가지구 놀랐어요. 과잉진료보다 환자에게 필요한 치료먼저 알려주셔서 부담도 덜어주셨어요.

의사선생님이 간호사선생님에게 대하는 친절한 모습도 좋았습니다. 정말 감사합니다용. 담에 봬요 :)",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,55,의사선생님 진짜 친절하시고 미백 치료 했는데 효과 좋아요!! 양재역 바로 앞이라 위치도 좋습니다👍,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,56,"모든 분들이 다 친절하셔서 놀라웠어요..🥹
치과를 여기 저기 찾아가면서 잘 다니는 편인데
여기 만큼 친절한 곳은 처음이었어요 ! 대박!👍🏻
미백 효과는 최대한 해주셨다고 하셨구
편안하게 진료 받았어요~ 감사합니다아아🤍",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,57,"닥터홍바른치과의원
25.1.14.화
들꽃569님. 찾아와주셔서 감사합니다. 보다 나은 진료로 보답하겠습니다. 다음에 또 뵙겠습니다^^!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,58,한 분도 예외없이 모두 빠르고 정확하고 친절하십니다👍🏻👍🏻👍🏻,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,59,"좋은 점이 너무 많아서 어디서부터 말씀드려야 할지 모르겠네요ㅎㅎ 선생님들 모두 정말 친절하시고 꼼꼼하게 진료해 주셨어요. 제가 급하게 미국으로 출국해야 하는 상황이었는데, 다른 치과에서는 엑스레이, 검사, 스케일링까지 다 하고 나서 치료 시간이 없다며 어렵다고 했어요. 하지만 여기에서는 제 상황을 배려해 주시고, 신속하면서도 꼼꼼하게 치료를 진행해 주셨습니다. 치료계획서도 직접 보여주시고, 이빨 하나하나 어디에 문제가 있는지 자세히 설명해 주셔서 더욱 신뢰가 갔던 것 같아요. 선생님들께서 너무 친절하셔서, 이제는 한국에 올 때마다 이 치과만 찾게 될 것 같아요!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,60,"작년에 이사하면서 집 근처로 찾다가 왔는데, 원장님 비롯해서 직원분들이 전부 모두 친절하세요! 양재역 접근성 좋고,, 뭣보다 주차 지원되고 과잉진료 없고 진짜 추천합니다!👍🏻
덕분에 시리던 이가 이제 안시려요 🥹",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,61,"제가갔을때는 엑스레이 강요전혀없었으며 엑스레이 촬영. 동의여부 질의도 차트 서류에 기재되었습니다.
어떤 과잉진료도 요구도 없었으며 제가받았던 치료 타치과들에 비해 합리적이고 저렴한편이었습니다.
친절하고 방문환자에 대한 진심 어린 배려와 고충이며 기타등등 경청잘해주시고",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,62,"별로임.
스케일링 하러 갔는데 엑스레이를 왜찍음
원하지도 않는 엑스레이 찍고 엑스레이 값 내고 기분 별로임",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,63,"원장님도
직원분들도 다들 너무
친절들하세요!!
꼼꼼하시고",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,64,평소에 누런치아톤때문에 고민이라 미백치약같은것도 써봤는데 마침 원데이 미백 이벤트 중이라 태어나서 처음으로 해봤는데 눈에띄는 효과가 있어서 너무 만족스러워요-! 6-12개월 뒤에 또 받아도된다해서 스케일링하러올때 또 할게요! 감사합니당!!,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,65,"치아 미백이랑 스케일링 받았는데 진짜 친절하게 잘 해주셨어요!
처음 방문인데 너무 만족스럽습니다! 역이랑도 가까워서 도보로도 좋고 완전 강추요!🙌🥰",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,66,"회사 근처여서 검색 후 가게 됐는데, 직원분들 의사샘모두 너무 친절하세요~! 충치치료도 꼼꼼하고 빠르게 해주셔서 좋았어요! 앞으로도 계속 이용할 것 같아요 !",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,67,"엑스레이 촬영후 스케일링치료 , 원장님상담하고 치아미백 했습니다~ 평소 누런이 때문에 오해받아 미백치료했는데 시려움 없이 한톤정도 밝아져서 너무 신기했어요! 원장님이 잘 밝아지는 이빨이라고 하셔서 나중에 한 번 더 하고싶어요. 모두 다 친절하셨어요",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,68,잘 치료받았습니다^^,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,69,작년에 한번 가보고 치과 정착했어요 서울에서 거주하는게 아니라 한번씩 올라가는게 쉽지는 않지만 먼길 다녀온 보람이 있을 정도로 만족합니다. :) 실력도 당연히 좋으시지만 선생님들이 다들 친절하셔요 😊,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,70,친절하시고 꼼꼼하게 잘 치료해주셨어요!,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,71,친절하세요!!,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,72,"치아미백 받고 잇몸치료 받고있어요
미백은 처음 해보는데 노란끼가 걷어져서 너무 만족해요! 지속적으로 할거같구요 (이벵트 계속 해주세요🥹)
잇몸치료도 주기적으로 열심히 해줘야겠단 생각이 듭니다 ㅎㅎ 원장님도 엄청 친절하시고 특히 이지원 선생님께서 항상 프로페셔널하게 자세한 설명을 해주시는데 이해가 정말 쏙쏙 갑니다! ㅎㅎㅎㅎ
진료도 잘보고 전반적으로 모두 친절한 병원이에요 강추합니다",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,73,"직원분들과 원장님 너무 친절하셨어요 🥺✨
설명도 자세히 해주셔서 알아듣기 쉬웠습니다
스케일링이랑 미백 받았는데 스케일링 정말 꼼꼼히 해주셨어요 ㅠㅠㅠㅠㅠㅠ 미백도 정말 받길 잘한거같아요,,,
예상보다 더 밝아진거같습니다
감사합니다!!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,74,"친절하다는 리뷰가 많던데.. 직원분들이 전부친절하세요. 질문,설명 다 잘해주시구요~
예약시간정확히 기다림없이 진료받아서 좋았어요!!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,75,"오픈했을 때부터 다니고 있어요🙂
원장님 항상 친절하시고, 꼼꼼하게 진료해주세요
교정, 치료 다 너무 추천하는 곳입니다ㅎㅎ",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,76,치아가 엄청 하얘졌어요.계신 분들 모두 친절하시고 꼼꼼하세요,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,77,"결혼식 앞두고 치아미백하러 다녀왔어용
누렁니가 하얘져서 기분 조아요!!!!! ㅋㅋㅋ
또 올게요 ?!!
엄청 친절하시고 꼼꼼하게 잘 봐주셔요!!!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,78,"약 4년전 회사근처라서 처음 방문했었고, 회사는 옮겼는데 치과는 아직까지 여기로 정착해서 다니고 있습니다. ~ 정기점검 왔다가 스케일링 및 치료받고 갑니다. 역세권이라 찾아오기 편하고 내부 환경 깔끔합니다. 닥터홍 선생님 및 직원분들 한결같이 친절하시고 과잉진료 없이 상황에 맞게 적절한 치료를 해주시는거 같습니다. 고민중이신 분들께도 추천하고 싶습니다. 참고로 여기 마취도 진짜 안아파요.",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,79,"스케일링 받으려고 검색해보다가 후기가 좋아서
방문했어요~!!
상담쌤이랑 치위생사쌤분들도 친절하시고
설명을 잘해주셔서 좋았어요~! 😊
양재역 7번 출구와 가까워서 접근성이 좋아요👏🏻
앞으로 제 이빨은 여기서~~😁",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,80,친절합나다.,2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,81,"화이트닝 검색해보고 인스타에 후기사진이 많이 있어서 예약하게되었어요.
집에서 가깝기도 하고 주차도 편하고 찾기쉬웠네요~
원장님 설명 너무 친절하시고 무엇보다도 사진처럼 웃상^^이셔서 안심되고 기분좋았어요^^
직원분들도 너무 신뢰가 가고 친절하셨구요.
다니는 치과 있는데도 시간만되면 좀 더 자세한 치아상담하고 받아보고 싶었는데, 시간 빠듯해서 화이트닝이랑 스켈링만 했어요.
화이트닝 두단계 밝아져서 만족스럽고 유지차원에서 정기적으로 재방문의사 있습니다~
감사합니다~",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,82,"임플란트를 해야하는건 알고있었는데 너무 무서워서 미루다가 서치후에 간 닥터홍치과!
그냥 수술하는게아니라 네비게이션이라는 게 있어서 훨씬 안무섭고 안아프게 할수잇다는 걸 알았어요ㅠ
드디어 마음먹고 해봅니답!
다들 너무 친절하고 꼼꼼히 신경써주셔서 감동이었어요!!",2026-03-31 13:03:15
양재역치과,1,닥터홍바른치과의원,83,"5시 40분쯤 전화로 예약하고 갔어요! 10분정도 기다리고 들어갔는데 의사,치위생사 분들 모두 친절하셔서 편하게 진료받고 왔네요! 저방사선 엑스레이(?) 인지 방사선 안심 기기를 사용한다고 해서 더 좋았어요!",2026-03-31 13:03:15
