키워드,순위,업체명,리뷰번호,리뷰내용,크롤링시간
양재역치과,2,컴플란트치과의원,1,원장님이 친절하고 실력 있으셔요! 강추!!,2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,2,친절하시고 잘 봐주세요~,2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,3,사랑니 발치하러 갔는데 충치도 많아서 같이 치료받았어요. 과잉진료 없이 치료가 필요한 부분만 말씀주셔서 좋아요. 위쪽 사랑니는 뽑는줄도 모르고 있는데 다 뽑아주셨네요👍 다음에 반대쪽 사랑니도 뽑으러 가려구요,2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,4,"사랑니 발치때문에 갔는데 다른건 몰라도 발치전문은 아닌거같아요
사랑니 하나에 20분이 말이 됩니까..
그냥 사랑니 공장 가세요 거기선 5분만에 뽑아요",2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,5,잇몸치료 완료,2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,6,"사랑니 발치도, 이엑스치료도 다여기서 진행햇는데요! 마취 무서워하는저인데, 요긴 덜! 아프고 빨리 끝나는듯해요ㅠ",2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,7,사랑니를 잘 빼주십니다,2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,8,사랑니 쉽게 뿌리까지 빼주셧어요 뿌리가 휘여잇었는데 깔끔하게 뽑아주셧습니다 감사합니다,2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,9,"친절하고 안 아프게 잘 뽑아주십니다!
검진 받을 때부터 뽑기 어려운 사랑니라고 하셨는데 전혀 문제없이 수월하게 잘 뽑아주셨습니다",2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,10,사랑니 위아래 발치했는데 2개 순식간에 끝났습니다! 이외에 충치치료도 진행했는데 선생님들도 친절하시고 진료도 깔끔해서 추천드립니다!!,2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,11,이직하고 회사주위에 과잉진료 없으시고 솔직하시고 정말 환자의 입장에서 생각해주시는 분이 운영하는 곳을 찾고 싶었는데 딱 찾았습니다. 첫진료여서 많이 걱정하면서 들어갔는데 정말 딱 필요로한 부분만 집어주시고 걱정되서 여쭤보는 질문들도 상세히 설명해주셨어요. 꾸준히 다닐수 있는곳이 생겨서 너무 기쁩니다. 시설도 깨긋하고 기기장비도 좋고 무엇보다 야간진료를 저녁 8시까지해주시는 날도 있어서 양재에서 야근하다가도 가능하네요. 야간진료 정말 너무 좋습니다,2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,12,"과잉진료도 없고 솔직하게 있는 그대로 봐주세요ㅎㅎ
이빨 잘 관리해서 재방문 예정입니당",2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,13,임플란트 상담 차 방문했는데 원장선생님 상담도 친절하고 꼼꼼히 해주셔서 믿고 부탁드려도 될 것 같아요! 검색 많이 해보고 방문했는데 잘 방문한 것 같아 기분이 좋습니당 ㅎㅎ,2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,14,친절하고 꼼꼼하게 진료해주십니다!,2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,15,"사고로 앞니들이 많이 흔들렸는데..
급히 강남쪽 몇군데 상담을 받아보고 컴플란트에서 치료받았어요
첨에 임플란트해야하는줄 알고 임플란트치과 위주로 찾다가
재수술전문병원이라고 알게되서 왔는데 근데 임플란트는 안했어요
다른 데서는 임플란트 하라고 하고 한군데서는 4개나 해야한다고 했는데...
여기 원장님이 자기 치아를 최대한 살리는 것이 좋다고 임플란트 안하고 치료해주셨네요
알려주신데로 관리에도 신경쓰고 주변에도 추천 많이 할께요",2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,16,원장님 너무 설명잘해주시고 친절하셔서 백퍼 만족....치료 잘 받고 담 예약도 했네요~~^^,2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,17,"여기서 아버지 임플란트 재수술을 하셨습니다.
노인이신데 타병원에서 잘못해서 고생을 오래 하셨습니다. 체중이 일년사이 10키로가 빠지셔서 재수술을 결정했고 첫시술 실패했기 때문에 병원을 신중히 선택 했습니다. 무리한 시술보다 환자 입장에서 생각해주시는 원장님께 감사드립니다. 이제는 아버지께서 편안하게 식사하실 수 있어서 좋아하십니다. 서울 오실때마다 번거롭다고 하셨는데 지금은 이곳에서 하길 잘했다 하십니다. 컴플란트치과 임플란트 추천합니다. 정기검진 때 또 뵙겠습니다.",2026-03-31 13:06:28
양재역치과,2,컴플란트치과의원,18,본 게시물은 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제 44조 2항을 준수하기 위해 다른 이용자의 요청으로 삭제되었습니다.,2026-03-31 13:06:28
