키워드,순위,업체명,리뷰번호,리뷰내용,크롤링시간
천동치과,4,이앤장치과교정과치과의원,1,저희 딸 교정 진행 중인데 예약 시간 잘 맞춰주셔서 학교 끝나고 다니기 괜찮아요~ 교정 시작하면 병원 자주 가야 해서 일정 관리 은근 중요하더라구요...,2026-03-31 11:45:08
천동치과,4,이앤장치과교정과치과의원,2,고등학생 아들 교정 시작했는데 남자애라 병원 엄청 싫어할 줄 알았거든요ㅋㅋ 근데 생각보다 잘 다니고 있어요. 치료할 때마다 상태 설명을 아이랑 보호자 같이 해줘서 이해하기 좋았어요.,2026-03-31 11:45:08
천동치과,4,이앤장치과교정과치과의원,3,"혹시 대전에서 교정 알아보시는 분 계실까봐 남겨요~
저희 딸이 중학생인데 덧니 때문에 교정 시작했어요. 병원 몇 군데 상담 다녀봤는데 여기 이앤장교정과는 설명을 좀 차분하게 해주시더라구요. 아이 상태랑 치료 기간도 현실적으로 얘기해주셔서 결정했어요.
지금 6개월 정도 됐는데 아이가 병원 가는 거 크게 싫어하지는 않아요. 오래 다녀야 하는 치료라 분위기도 중요한 것 같아요.",2026-03-31 11:45:08
천동치과,4,이앤장치과교정과치과의원,4,딸냄 교정 시작한 지 꽤 됐는데 예약 관리도 잘 해주시구요. 치료 일정도 무리하게 잡지 않아서 아이가 스트레스 덜 받는 것 같아요. 오래 다니기 괜찮은 병원이에요.,2026-03-31 11:45:08
천동치과,4,이앤장치과교정과치과의원,5,여기서 치아교정 끝난 지 1년 정도 됐는데 유지장치 체크 받으러 꾸준히 다니고 있습니다. 교정 끝난 이후 관리도 잘 봐주는 편이라 만족하고 있어요,2026-03-31 11:45:08
천동치과,4,이앤장치과교정과치과의원,6,"교정 잘 진행되고 있어서 좋아요 꾸준히 친절하시고 열심히 봐주셔서 감사합니다
교정치과 찾는분들은 꼭 여기로 오시길 ㅜ",2026-03-31 11:45:08
천동치과,4,이앤장치과교정과치과의원,7,"딸 교정 시작하면서 병원 알아보는 게 쉽지 않았는데 교정전문치과라 그런지 검사 과정이 체계적이었구요, 실장님 상담도 차분하고 여러모로 신뢰가 가는 치과네요 좋아요",2026-03-31 11:45:08
천동치과,4,이앤장치과교정과치과의원,8,대전 교정치과 찾다가 상담받았는데 치료 기간이랑 비용 부분을 현실적으로 설명해줘서 계획 세우기 좋았습니당,2026-03-31 11:45:08
천동치과,4,이앤장치과교정과치과의원,9,큰애 교정 끝나구 유지장치 때문에 아직도 가끔 방문해요. 실장님이 아이 기억해주셔서 괜히 반갑더라구요ㅎㅎ 병원이 꾸준히 유지되는 느낌이라 편하게 다니고 있어요,2026-03-31 11:45:08
천동치과,4,이앤장치과교정과치과의원,10,교정은 워낙 장기적인 치료라 병원 알아보기 부터 쉽지 않은데 여긴 멀리 살아도 믿고 다니게 되는 곳이에요,2026-03-31 11:45:08
